maperiod,return,dd,sharpe
10,19.510739954731456,3.298770630119918,
15,11.295691792594702,4.223471547958167,
20,11.09542149218578,4.697039098927687,
25,-21.56979212444339,3.487510483973109,
30,-22.467235745380894,3.375050000000003,
